Code article	Article	Code catégorie article	Prix de base	Stat 1	Stat 2	Stat 3	Stat 4	Stat 5
BMS014	Jante rayons 26" route	BMSOL	18.0000000000000	Cycle	Pièces détachées	Roues		
BMS013	Jante rayons 20" route	BMSOL	13.8100000000000	Cycle	Pièces détachées	Roues		
BMS015	Jante rayons 20" VTT	BMSOL	16.9500000000000	Cycle	Pièces détachées	Roues		
BMS016	Jante rayons 26" VTT	BMSOL	21.6000000000000	Cycle	Pièces détachées	Roues		
BMS017	Jante alu 20" route	BMSOL	31.5700000000000	Cycle	Pièces détachées	Roues		
BMS018	Jante alu 26" route	BMSOL	40.4300000000000	Cycle	Pièces détachées	Roues		
BMS019	Jante alu 20" VTT	BMSOL	34.9900000000000	Cycle	Pièces détachées	Roues		
BMS020	Jante alu 26" VTT	BMSOL	44.2400000000000	Cycle	Pièces détachées	Roues		
BMS021	Chambre à air 20" route	BMSOL	4.6200000000000	Cycle	Pièces détachées	Roues		
BMS022	Chambre à air 20" VTT	BMSOL	4.9000000000000	Cycle	Pièces détachées	Roues		
BMS023	Chambre à air 26" route	BMSOL	5.0000000000000	Cycle	Pièces détachées	Roues		
BMS027	Pneu 26" route	BMSOL	36.5000000000000	Cycle	Pièces détachées	Roues		
BMS025	Pneu 20" route	BMSOL	9.1600000000000	Cycle	Pièces détachées	Roues		
BMS028	Pneu 26" VTT	BMSOL	28.2700000000000	Cycle	Pièces détachées	Roues		
BMS029	Guidon vélo enfant route	BMSOL	17.2000000000000	Cycle	Pièces détachées	Guidons		
BMS030	Guidon vélo enfant VTT	BMSOL	23.7900000000000	Cycle	Pièces détachées	Guidons		
BMS031	Guidon vélo adulte route	BMSOL	23.0000000000000	Cycle	Pièces détachées	Guidons		
BMS032	Guidon vélo adulte VTT	BMSOL	31.1700000000000	Cycle	Pièces détachées	Guidons		
BMS033	Transmission vélo enfant route	BMSOL	25.4000000000000	Cycle	Pièces détachées	Transmissions		
BMS034	Transmission vélo adulte route	BMSOL	37.0000000000000	Cycle	Pièces détachées	Guidons		
BMS035	Transmission vélo enfant VTT	BMSOL	30.7300000000000	Cycle	Pièces détachées	Transmissions		
BMS036	Transmission vélo adulte VTT	BMSOL	43.0300000000000	Cycle	Pièces détachées	Transmissions		
BMS038	Pédalier vélo adulte route	BMSOL	16.0000000000000	Cycle	Pièces détachées	Pédaliers		
