Code client	Client	Code postal	Code pays client	Code représentant	Stat 1	Stat 2	Stat 3	Stat 4	Stat 5	Catégorie client
NA001	International Distributors	33710	US	 	Général	Informatique	Amérique	NULL	NULL	Clients Etats-Unis
NA011	NA10 - Intercompany	92618	US	 	Grossiste	Grossite	Amérique	NULL	NULL	Clients Inter-sites
NA012	Bike & Toy Products	92618	US	 	Professionnels	Revendeur	Amérique	NULL	NULL	Clients Inter-sites
NA021	Food Products	92618	US	 	Professionnels	Grand compte	Amérique	NULL	NULL	Clients Inter-sites
NA022	Pharmaceutical Products	92618	US	 	Professionnels	Grand compte	Amérique	NULL	NULL	Clients Inter-sites
NA023	Chemical Products	92618	US	 	Professionnels	Revendeur	Amérique	NULL	NULL	Clients Inter-sites
NA002	Amalgamate Supply	15143	US	 	Général	Informatique	NULL	NULL	NULL	Clients Etats-Unis
NA003	Fun Times Stores	60620	US	 	Professionnels	Revendeur	Amérique	NULL	NULL	Clients Etats-Unis
NA004	Leisure Sports Inc	90035	US	 	Général	Vélo	Amérique	NULL	NULL	Clients Etats-Unis
NA005	Johnson Wholesale	33710	US	 	Général	Agro	Amérique	NULL	NULL	Clients Etats-Unis
PT008	Industria e Manufacturas	4440452	PT	 	Autre	Autres	Europe	NULL	NULL	Clients Portugais
PT151	Lisboa BTT	1500275	PT	 	Revendeur	Revendeur pro	Europe	NULL	NULL	NULL
PT152	J.Louro & Associados	1990155	PT	 	Revendeur	Revendeur pro	Europe	NULL	NULL	NULL
SPA01	ACME Company	08174	ES	 	NULL	NULL	NULL	NULL	NULL	Clients Espagnols
SPA002	ACME	 	ES	 	NULL	NULL	NULL	NULL	NULL	Clients Espagnols
FR013	Modern Bike SA	44000	FR	 	Professionnels	Administration	Europe	NULL	NULL	Clients Français
FR001	Urban Cycle	44000	FR	 	Général	Vélo	Europe	NULL	NULL	Clients Français
FR152	Infocert	69006	FR	 	Revendeur	Informatique	Europe	NULL	NULL	NULL
FR151	Cycle Manudano	69006	FR	 	Revendeur	Vélo	Europe	NULL	NULL	NULL
FR006	Kruteneau	67000	FR	 	Grossiste	Agro	Europe	NULL	NULL	Clients Français
FR002	Vélo Attitudes	13770	FR	 	Revendeur	Vélo	Europe	NULL	NULL	Clients Français
FR003	Cybertek	44400	FR	 	Revendeur	Informatique	Europe	NULL	NULL	Clients Français
FR004	Micro Systems	95370	FR	 	Professionnels	Informatique	Europe	NULL	NULL	Clients Français
FR005	Agrolim	33270	FR	 	Professionnels	Agro	Europe	NULL	NULL	Clients Français
FR007	Eurofins	31000	FR	 	Professionnels	Chimie	Europe	NULL	NULL	Clients Français
FR008	Cortex 	31500	FR	 	Professionnels	Revendeur	Europe	NULL	NULL	Clients Français
FR009	Pharmatex	59650	FR	 	Professionnels	Pharmaceutique	Europe	NULL	NULL	Clients Français
FR010	DMI	21000	FR	 	Professionnels	Revendeur	Europe	NULL	NULL	Clients Français
FR011	Computer SA	92400	FR	 	Professionnels	Autres	Europe	NULL	NULL	Clients Inter-sites
FR012	Bike City	44000	FR	 	Professionnels	Revendeur	Europe	NULL	NULL	Clients Inter-sites
ES001	BH	28029	ES	 	Particuliers	Vélo	Europe	NULL	NULL	Clients Espagnols7
NA006	Sysco Supply	15143	US	 	Général	Agro	Amérique	NULL	NULL	Clients Etats-Unis
NA007	Williams Distributors	30019	US	 	Général	Pharmaceutique	Amérique	NULL	NULL	Clients Etats-Unis
NA008	Aldermans	60620	US	 	Général	Pharmaceutique	Amérique	NULL	NULL	Clients Etats-Unis
NA010	Dayton Marshall Inc	72701	US	 	Général	Chimie	Amérique	NULL	NULL	Clients Etats-Unis
ES011	Productos Tecnológicos SA	28034	ES	 	Professionnels	Autres	Europe	NULL	NULL	Clients Inter-sites
FR052	OnicIndus	72000	FR	 	Autre	NULL	NULL	NULL	NULL	Sous-Traitance
NA009	ABC Industrial	30096	US	 	Grossiste	Chimie	Amérique	NULL	NULL	Clients Etats-Unis
ES012	Bicis y Juguetes SA	03001	ES	 	Professionnels	Vélo	Europe	NULL	NULL	Clients Inter-sites
PT001	As Bicicletas do Norte	4440452	PT	 	Général	Vélo	Europe	NULL	NULL	Clients Portugais
PT002	Bikes do Barreiro	2715311	PT	 	Général	Vélo	Europe	NULL	NULL	Clients Portugais
PT003	Farmácia de Matosinhos	4450242	PT	 	Général	Pharmaceutique	Europe	NULL	NULL	Clients Portugais
PT004	Distribuição Farmacêutica Oeiras	2780211	PT	 	Général	Pharmaceutique	Europe	NULL	NULL	Clients Portugais
PT005	Supermercados Rosa Fresca	2910427	PT	 	Général	Agro	Europe	NULL	NULL	Clients Portugais
PT006	Distribuidora Gomes & Barbosa	4820142	PT	 	Général	Agro	Europe	NULL	NULL	Clients Portugais
